strategy_code,future_id,region,time_period,difference_variable,variable_value_baseline,variable_value_pathway,difference_value,variable,value,name,sector,cb_type,item_1,item_2,Year,strategy,strategy_id,primary_id,ids,gdp_mmm_usd
PFLO:NDC,0,morocco,3,yield_agrc_bevs_and_spices_tonne,0.0,0.0,0.0,cb:agrc:crop_value:crops_produced:bevs_and_spices,0.0,cb,agrc,crop_value,crops_produced,bevs_and_spices,2018,NDC,6003,72072,cb:agrc:crop_value:crops_produced:bevs_and_spices:6003,294.3
PFLO:NDC,0,morocco,4,yield_agrc_bevs_and_spices_tonne,0.0,0.0,0.0,cb:agrc:crop_value:crops_produced:bevs_and_spices,0.0,cb,agrc,crop_value,crops_produced,bevs_and_spices,2019,NDC,6003,72072,cb:agrc:crop_value:crops_produced:bevs_and_spices:6003,302.81
PFLO:NDC,0,morocco,5,yield_agrc_bevs_and_spices_tonne,0.0,0.0,0.0,cb:agrc:crop_value:crops_produced:bevs_and_spices,0.0,cb,agrc,crop_value,crops_produced,bevs_and_spices,2020,NDC,6003,72072,cb:agrc:crop_value:crops_produced:bevs_and_spices:6003,281.08
PFLO:NDC,0,morocco,6,yield_agrc_bevs_and_spices_tonne,0.0,0.0,0.0,cb:agrc:crop_value:crops_produced:bevs_and_spices,0.0,cb,agrc,crop_value,crops_produced,bevs_and_spices,2021,NDC,6003,72072,cb:agrc:crop_value:crops_produced:bevs_and_spices:6003,303.62
PFLO:NDC,0,morocco,7,yield_agrc_bevs_and_spices_tonne,0.0,0.0,0.0,cb:agrc:crop_value:crops_produced:bevs_and_spices,0.0,cb,agrc,crop_value,crops_produced,bevs_and_spices,2022,NDC,6003,72072,cb:agrc:crop_value:crops_produced:bevs_and_spices:6003,307.44
PFLO:NDC,0,morocco,8,yield_agrc_bevs_and_spices_tonne,0.0,0.0,0.0,cb:agrc:crop_value:crops_produced:bevs_and_spices,0.0,cb,agrc,crop_value,crops_produced,bevs_and_spices,2023,NDC,6003,72072,cb:agrc:crop_value:crops_produced:bevs_and_spices:6003,316.7154648
PFLO:NDC,0,morocco,9,yield_agrc_bevs_and_spices_tonne,0.0,0.0,0.0,cb:agrc:crop_value:crops_produced:bevs_and_spices,0.0,cb,agrc,crop_value,crops_produced,bevs_and_spices,2024,NDC,6003,72072,cb:agrc:crop_value:crops_produced:bevs_and_spices:6003,326.67616616796
PFLO:NDC,0,morocco,10,yield_agrc_bevs_and_spices_tonne,0.0,0.0,0.0,cb:agrc:crop_value:crops_produced:bevs_and_spices,0.0,cb,agrc,crop_value,crops_produced,bevs_and_spices,2025,NDC,6003,72072,cb:agrc:crop_value:crops_produced:bevs_and_spices:6003,337.4630131748261
PFLO:NDC,0,morocco,11,yield_agrc_bevs_and_spices_tonne,0.0,0.0,0.0,cb:agrc:crop_value:crops_produced:bevs_and_spices,0.0,cb,agrc,crop_value,crops_produced,bevs_and_spices,2026,NDC,6003,72072,cb:agrc:crop_value:crops_produced:bevs_and_spices:6003,348.8760122803987
PFLO:NDC,0,morocco,12,yield_agrc_bevs_and_spices_tonne,0.0,0.0,0.0,cb:agrc:crop_value:crops_produced:bevs_and_spices,0.0,cb,agrc,crop_value,crops_produced,bevs_and_spices,2027,NDC,6003,72072,cb:agrc:crop_value:crops_produced:bevs_and_spices:6003,360.7203528973182
PFLO:NDC,0,morocco,13,yield_agrc_bevs_and_spices_tonne,0.0,0.0,0.0,cb:agrc:crop_value:crops_produced:bevs_and_spices,0.0,cb,agrc,crop_value,crops_produced,bevs_and_spices,2028,NDC,6003,72072,cb:agrc:crop_value:crops_produced:bevs_and_spices:6003,372.9090936217186
PFLO:NDC,0,morocco,14,yield_agrc_bevs_and_spices_tonne,0.0,0.0,0.0,cb:agrc:crop_value:crops_produced:bevs_and_spices,0.0,cb,agrc,crop_value,crops_produced,bevs_and_spices,2029,NDC,6003,72072,cb:agrc:crop_value:crops_produced:bevs_and_spices:6003,385.6215646232829
PFLO:NDC,0,morocco,15,yield_agrc_bevs_and_spices_tonne,0.0,0.0,0.0,cb:agrc:crop_value:crops_produced:bevs_and_spices,0.0,cb,agrc,crop_value,crops_produced,bevs_and_spices,2030,NDC,6003,72072,cb:agrc:crop_value:crops_produced:bevs_and_spices:6003,398.6240226522625
PFLO:NDC,0,morocco,16,yield_agrc_bevs_and_spices_tonne,0.0,0.0,0.0,cb:agrc:crop_value:crops_produced:bevs_and_spices,0.0,cb,agrc,crop_value,crops_produced,bevs_and_spices,2031,NDC,6003,72072,cb:agrc:crop_value:crops_produced:bevs_and_spices:6003,411.9166842658149
PFLO:NDC,0,morocco,17,yield_agrc_bevs_and_spices_tonne,0.0,0.0,0.0,cb:agrc:crop_value:crops_produced:bevs_and_spices,0.0,cb,agrc,crop_value,crops_produced,bevs_and_spices,2032,NDC,6003,72072,cb:agrc:crop_value:crops_produced:bevs_and_spices:6003,425.4994496946236
PFLO:NDC,0,morocco,18,yield_agrc_bevs_and_spices_tonne,0.0,0.0,0.0,cb:agrc:crop_value:crops_produced:bevs_and_spices,0.0,cb,agrc,crop_value,crops_produced,bevs_and_spices,2033,NDC,6003,72072,cb:agrc:crop_value:crops_produced:bevs_and_spices:6003,439.3718922077129
PFLO:NDC,0,morocco,19,yield_agrc_bevs_and_spices_tonne,0.0,0.0,0.0,cb:agrc:crop_value:crops_produced:bevs_and_spices,0.0,cb,agrc,crop_value,crops_produced,bevs_and_spices,2034,NDC,6003,72072,cb:agrc:crop_value:crops_produced:bevs_and_spices:6003,453.5332477225603
PFLO:NDC,0,morocco,20,yield_agrc_bevs_and_spices_tonne,0.0,0.0,0.0,cb:agrc:crop_value:crops_produced:bevs_and_spices,0.0,cb,agrc,crop_value,crops_produced,bevs_and_spices,2035,NDC,6003,72072,cb:agrc:crop_value:crops_produced:bevs_and_spices:6003,467.9824046920487
