strategy_code,future_id,region,time_period,difference_variable,variable_value_baseline,variable_value_pathway,difference_value,variable,value,name,sector,cb_type,item_1,item_2,Year,strategy,strategy_id,primary_id,ids,gdp_mmm_usd
PFLO:LEP,0.0,morocco,7.0,pop_unimproved_rural,299091.209054372,299091.209054372,0.0,cb:wali:technical_cost:sanitation:unimp_rural,0.0,cb,wali,technical_cost,sanitation,unimp_rural,2022.0,Low Emission Pathway,6003,72072,cb:wali:technical_cost:sanitation:unimp_rural:6003,307.44
PFLO:LEP,0.0,morocco,8.0,pop_unimproved_rural,294340.07849347586,294340.07849347586,0.0,cb:wali:technical_cost:sanitation:unimp_rural,0.0,cb,wali,technical_cost,sanitation,unimp_rural,2023.0,Low Emission Pathway,6003,72072,cb:wali:technical_cost:sanitation:unimp_rural:6003,316.7154648
PFLO:LEP,0.0,morocco,9.0,pop_unimproved_rural,289474.71138817567,289474.71138817567,0.0,cb:wali:technical_cost:sanitation:unimp_rural,0.0,cb,wali,technical_cost,sanitation,unimp_rural,2024.0,Low Emission Pathway,6003,72072,cb:wali:technical_cost:sanitation:unimp_rural:6003,326.67616616796
PFLO:LEP,0.0,morocco,10.0,pop_unimproved_rural,284494.6292986252,284494.6292986252,0.0,cb:wali:technical_cost:sanitation:unimp_rural,-0.0,cb,wali,technical_cost,sanitation,unimp_rural,2025.0,Low Emission Pathway,6003,72072,cb:wali:technical_cost:sanitation:unimp_rural:6003,337.463013174826
PFLO:LEP,0.0,morocco,11.0,pop_unimproved_rural,279403.9680850541,279403.9680850541,0.0,cb:wali:technical_cost:sanitation:unimp_rural,-0.0,cb,wali,technical_cost,sanitation,unimp_rural,2026.0,Low Emission Pathway,6003,72072,cb:wali:technical_cost:sanitation:unimp_rural:6003,348.876012280399
PFLO:LEP,0.0,morocco,12.0,pop_unimproved_rural,274197.3821081051,274197.3821081051,0.0,cb:wali:technical_cost:sanitation:unimp_rural,-0.0,cb,wali,technical_cost,sanitation,unimp_rural,2027.0,Low Emission Pathway,6003,72072,cb:wali:technical_cost:sanitation:unimp_rural:6003,360.720352897318
PFLO:LEP,0.0,morocco,13.0,pop_unimproved_rural,268873.6138056334,257183.45668364983,-11690.15712198356,cb:wali:technical_cost:sanitation:unimp_rural,7.598602129289315e-05,cb,wali,technical_cost,sanitation,unimp_rural,2028.0,Low Emission Pathway,6003,72072,cb:wali:technical_cost:sanitation:unimp_rural:6003,372.909093621719
PFLO:LEP,0.0,morocco,14.0,pop_unimproved_rural,263432.16374222044,240525.01906898362,-22907.14467323682,cb:wali:technical_cost:sanitation:unimp_rural,0.00014889644037603932,cb,wali,technical_cost,sanitation,unimp_rural,2029.0,Low Emission Pathway,6003,72072,cb:wali:technical_cost:sanitation:unimp_rural:6003,385.621564623283
PFLO:LEP,0.0,morocco,15.0,pop_unimproved_rural,257873.3363345572,224237.68376918044,-33635.652565376775,cb:wali:technical_cost:sanitation:unimp_rural,0.00021863174167494902,cb,wali,technical_cost,sanitation,unimp_rural,2030.0,Low Emission Pathway,6003,72072,cb:wali:technical_cost:sanitation:unimp_rural:6003,398.624022652263
PFLO:LEP,0.0,morocco,16.0,pop_unimproved_rural,252198.1693581482,208337.6181654264,-43860.55119272182,cb:wali:technical_cost:sanitation:unimp_rural,0.0002850935827526918,cb,wali,technical_cost,sanitation,unimp_rural,2031.0,Low Emission Pathway,6003,72072,cb:wali:technical_cost:sanitation:unimp_rural:6003,411.916684265815
PFLO:LEP,0.0,morocco,17.0,pop_unimproved_rural,246408.50817484534,192841.44118031382,-53567.06699453152,cb:wali:technical_cost:sanitation:unimp_rural,0.00034818593546445486,cb,wali,technical_cost,sanitation,unimp_rural,2032.0,Low Emission Pathway,6003,72072,cb:wali:technical_cost:sanitation:unimp_rural:6003,425.499449694624
PFLO:LEP,0.0,morocco,18.0,pop_unimproved_rural,240507.00775237803,177766.049208279,-62740.958544099034,cb:wali:technical_cost:sanitation:unimp_rural,0.00040781623053664373,cb,wali,technical_cost,sanitation,unimp_rural,2033.0,Low Emission Pathway,6003,72072,cb:wali:technical_cost:sanitation:unimp_rural:6003,439.371892207713
PFLO:LEP,0.0,morocco,19.0,pop_unimproved_rural,234496.89066280678,163128.2717654308,-71368.61889737597,cb:wali:technical_cost:sanitation:unimp_rural,0.0004638960228329438,cb,wali,technical_cost,sanitation,unimp_rural,2034.0,Low Emission Pathway,6003,72072,cb:wali:technical_cost:sanitation:unimp_rural:6003,453.53324772256
PFLO:LEP,0.0,morocco,20.0,pop_unimproved_rural,228381.51040518517,148944.4633077299,-79437.04709745527,cb:wali:technical_cost:sanitation:unimp_rural,0.0005163408061334593,cb,wali,technical_cost,sanitation,unimp_rural,2035.0,Low Emission Pathway,6003,72072,cb:wali:technical_cost:sanitation:unimp_rural:6003,467.982404692049
PFLO:LEP,0.0,morocco,21.0,pop_unimproved_rural,222164.57881309596,135230.61319058,-86933.96562251594,cb:wali:technical_cost:sanitation:unimp_rural,0.0005650707765463536,cb,wali,technical_cost,sanitation,unimp_rural,2036.0,Low Emission Pathway,6003,72072,cb:wali:technical_cost:sanitation:unimp_rural:6003,482.717894300152
PFLO:LEP,0.0,morocco,22.0,pop_unimproved_rural,215849.9307975891,122002.13479863758,-93847.79599895152,cb:wali:technical_cost:sanitation:unimp_rural,0.000610010673993185,cb,wali,technical_cost,sanitation,unimp_rural,2037.0,Low Emission Pathway,6003,72072,cb:wali:technical_cost:sanitation:unimp_rural:6003,497.737880998526
PFLO:LEP,0.0,morocco,23.0,pop_unimproved_rural,209441.20358367465,109273.6714349604,-100167.53214871425,cb:wali:technical_cost:sanitation:unimp_rural,0.0006510889589666426,cb,wali,technical_cost,sanitation,unimp_rural,2038.0,Low Emission Pathway,6003,72072,cb:wali:technical_cost:sanitation:unimp_rural:6003,513.040153416352
PFLO:LEP,0.0,morocco,24.0,pop_unimproved_rural,202942.15072933878,97059.28947924919,-105882.8612500896,cb:wali:technical_cost:sanitation:unimp_rural,0.0006882385981255824,cb,wali,technical_cost,sanitation,unimp_rural,2039.0,Low Emission Pathway,6003,72072,cb:wali:technical_cost:sanitation:unimp_rural:6003,528.622115675885
PFLO:LEP,0.0,morocco,25.0,pop_unimproved_rural,196356.40797351697,85372.3512928334,-110984.05668068357,cb:wali:technical_cost:sanitation:unimp_rural,0.0007213963684244432,cb,wali,technical_cost,sanitation,unimp_rural,2040.0,Low Emission Pathway,6003,72072,cb:wali:technical_cost:sanitation:unimp_rural:6003,544.480779146162
PFLO:LEP,0.0,morocco,26.0,pop_unimproved_rural,189687.58579187415,74225.5770489941,-115462.00874288005,cb:wali:technical_cost:sanitation:unimp_rural,0.0007505030568287202,cb,wali,technical_cost,sanitation,unimp_rural,2041.0,Low Emission Pathway,6003,72072,cb:wali:technical_cost:sanitation:unimp_rural:6003,560.815202520547
PFLO:LEP,0.0,morocco,27.0,pop_unimproved_rural,182939.30243338912,63631.06171596132,-119308.2407174278,cb:wali:technical_cost:sanitation:unimp_rural,0.0007755035646632807,cb,wali,technical_cost,sanitation,unimp_rural,2042.0,Low Emission Pathway,6003,72072,cb:wali:technical_cost:sanitation:unimp_rural:6003,577.639658596163
PFLO:LEP,0.0,morocco,28.0,pop_unimproved_rural,176114.93818456505,53600.198577911004,-122514.73960665404,cb:wali:technical_cost:sanitation:unimp_rural,0.0007963458074432512,cb,wali,technical_cost,sanitation,unimp_rural,2043.0,Low Emission Pathway,6003,72072,cb:wali:technical_cost:sanitation:unimp_rural:6003,594.968848354048
PFLO:LEP,0.0,morocco,29.0,pop_unimproved_rural,169218.00418268808,44143.82717809246,-125074.17700459561,cb:wali:technical_cost:sanitation:unimp_rural,0.0008129821505298714,cb,wali,technical_cost,sanitation,unimp_rural,2044.0,Low Emission Pathway,6003,72072,cb:wali:technical_cost:sanitation:unimp_rural:6003,612.81791380467
PFLO:LEP,0.0,morocco,30.0,pop_unimproved_rural,162251.7815664048,35272.12642747925,-126979.65513892555,cb:wali:technical_cost:sanitation:unimp_rural,0.000825367758403016,cb,wali,technical_cost,sanitation,unimp_rural,2045.0,Low Emission Pathway,6003,72072,cb:wali:technical_cost:sanitation:unimp_rural:6003,631.20245121881
PFLO:LEP,0.0,morocco,31.0,pop_unimproved_rural,155219.26477625646,26994.65474369673,-128224.61003255972,cb:wali:technical_cost:sanitation:unimp_rural,0.0008334599652116382,cb,wali,technical_cost,sanitation,unimp_rural,2046.0,Low Emission Pathway,6003,72072,cb:wali:technical_cost:sanitation:unimp_rural:6003,650.138524755374
PFLO:LEP,0.0,morocco,32.0,pop_unimproved_rural,148122.2734535687,19320.2965374219,-128801.97691614678,cb:wali:technical_cost:sanitation:unimp_rural,0.0008372128499549541,cb,wali,technical_cost,sanitation,unimp_rural,2047.0,Low Emission Pathway,6003,72072,cb:wali:technical_cost:sanitation:unimp_rural:6003,669.642680498035
PFLO:LEP,0.0,morocco,33.0,pop_unimproved_rural,140962.86394469545,12257.640343016912,-128705.22360167853,cb:wali:technical_cost:sanitation:unimp_rural,0.0008365839534109105,cb,wali,technical_cost,sanitation,unimp_rural,2048.0,Low Emission Pathway,6003,72072,cb:wali:technical_cost:sanitation:unimp_rural:6003,689.731960912976
PFLO:LEP,0.0,morocco,34.0,pop_unimproved_rural,133742.765507137,5814.90284813637,-127927.86265900063,cb:wali:technical_cost:sanitation:unimp_rural,0.0008315311072835041,cb,wali,technical_cost,sanitation,unimp_rural,2049.0,Low Emission Pathway,6003,72072,cb:wali:technical_cost:sanitation:unimp_rural:6003,710.423919740366
PFLO:LEP,0.0,morocco,35.0,pop_unimproved_rural,126463.1974080363,0.0,-126463.1974080363,cb:wali:technical_cost:sanitation:unimp_rural,0.000822010783152236,cb,wali,technical_cost,sanitation,unimp_rural,2050.0,Low Emission Pathway,6003,72072,cb:wali:technical_cost:sanitation:unimp_rural:6003,731.736637332577
PFLO:LEP,0.0,morocco,7.0,pop_improved_rural,41973.29513006051,41973.29513006051,0.0,cb:wali:technical_cost:sanitation:imp_rural,0.0,cb,wali,technical_cost,sanitation,imp_rural,2022.0,Low Emission Pathway,6003,72072,cb:wali:technical_cost:sanitation:imp_rural:6003,307.44
